,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,250000,80,1,2.07,6.0,0.1,2.07,5.36
1,300000,80,1,2.38,6.19,0.1,2.38,5.69
2,350000,80,1,2.36,6.32,0.1,2.36,5.56
3,400000,80,1,2.19,6.29,0.1,2.19,5.47
4,450000,80,1,1.94,5.95,0.1,1.94,5.33
5,500000,80,1,1.91,6.1,0.1,1.91,5.53
6,550000,80,1,1.95,6.04,0.1,1.95,5.43
7,600000,80,1,2.01,6.3,0.1,2.01,5.47
8,650000,80,1,1.85,5.93,0.1,1.85,5.47
9,700000,80,1,1.7,6.04,0.1,1.7,5.44
10,750000,80,1,1.87,6.01,0.1,1.87,5.4
11,800000,80,1,1.76,6.07,0.1,1.76,5.46
