scorer,KAIST,KAIST,KAIST,KAIST,KAIST,KAIST,KAIST,KAIST
bodyparts,Snout,Snout,LeftEar,LeftEar,RightEar,RightEar,TailBase,TailBase
coords,x,y,x,y,x,y,x,y
labeled-data\20180919_Trial6\img11292.png,586.8741463245067,172.2666888605449,593.198064640339,148.12081892736717,564.0515716583151,144.82072734950088,548.9135601282696,74.04029506036915
labeled-data\20180919_Trial6\img11824.png,108.12759499875318,178.1015063668903,141.90025755594598,150.4204255876698,117.2109884055003,144.79573054215095,117.1794859576926,77.407914123061
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00073.png,99.82847337839439,109.7892354322305,,,,,188.5015434602158,75.9322450373532
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00135.png,95.20629622581853,129.70917207812607,,,,,177.03338557741588,75.37339733082032
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00184.png,100.12256955425758,80.83147642415568,,,,,183.83958574224133,87.41364968709297
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00322.png,87.14253088899846,54.878072467028815,,,,,165.39898361434433,93.55996925142031
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00461.png,261.0877467638032,123.15270275025509,,,,,169.6265259129723,105.59667893368693
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00477.png,,,325.12107299866676,67.69921799293793,324.15939184012075,100.39637738350308,249.46882185971208,95.90853197695492
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00533.png,429.8002918633791,129.90035638270126,434.5837806045258,98.38560702926391,,,364.51973963125886,73.06125487025174
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00544.png,,,446.43817776987777,93.51626776401642,,,373.16250439636826,77.99176069335763
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00622.png,611.5741546512983,108.83057759226071,592.6931479051777,88.7314413786486,,,517.169120920696,90.55863557988607
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00660.png,594.156889826075,108.29039778541492,583.6002250180271,82.51971604812132,,,501.3203375435355,69.47913010876795
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img00809.png,,,548.4555095471496,109.7344874331276,,,499.1259950195659,64.10916902644368
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01054.png,,,,,,,173.9914047195541,103.34028488082527
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01410.png,108.28248761125171,136.76933861034004,111.35986731859902,106.38021400028538,,,174.83082378263725,65.60493287793355
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01522.png,,,,,,,,
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01697.png,,,,,,,,
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01749.png,,,159.9312263498798,125.5062222788866,130.06595587269993,138.77967582429986,159.48126597889242,70.02070703189844
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01788.png,,,,,209.6553287493683,93.26551159288415,136.4874206033242,98.2609109442205
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img01907.png,,,,,,,355.7044975925943,128.8882361442297
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img02017.png,,,389.9301234336209,82.7245101705618,384.08255910367274,113.78969567341132,346.07339095900977,155.08811875367007
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img02087.png,,,427.7461020248787,77.78435327889363,414.11687852576284,106.43353736887188,357.93110001920354,97.81096740004347
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img02140.png,,,573.0609078940397,63.897126049856524,557.8930589545275,98.24784276581053,492.7605311554459,80.84942780578187
C:\Users\user\Desktop\LinearChamber-KAIST-2018-11-19\labeled-data\20180919_Trial6\img02200.png,603.9214414799003,77.5444826752045,,,,,510.24122328126145,81.39455142783058
