,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,5000,80,1,8.07,8.64,0.1,7.03,8.04
1,10000,80,1,4.93,5.37,0.1,4.81,5.34
2,15000,80,1,4.5,5.11,0.1,4.49,5.08
3,20000,80,1,4.28,4.86,0.1,4.28,4.84
4,25000,80,1,3.85,4.61,0.1,3.85,4.59
5,30000,80,1,3.66,4.42,0.1,3.66,4.34
6,35000,80,1,3.43,4.14,0.1,3.43,4.04
7,40000,80,1,3.43,4.32,0.1,3.42,4.22
8,45000,80,1,3.26,4.0,0.1,3.26,3.89
9,50000,80,1,3.16,4.14,0.1,3.16,4.06
10,55000,80,1,3.04,4.56,0.1,3.04,3.94
11,60000,80,1,3.05,4.17,0.1,2.93,3.57
12,65000,80,1,3.45,4.94,0.1,3.44,4.31
13,70000,80,1,3.02,4.48,0.1,3.02,3.93
14,75000,80,1,2.86,4.65,0.1,2.85,3.54
15,80000,80,1,2.99,4.99,0.1,2.99,3.87
16,85000,80,1,2.98,4.29,0.1,2.98,3.67
17,90000,80,1,3.2,4.9,0.1,3.2,3.79
18,95000,80,1,3.0,4.79,0.1,3.0,3.66
19,100000,80,1,3.19,5.18,0.1,3.19,4.03
20,105000,80,1,3.22,4.96,0.1,3.22,3.84
21,110000,80,1,2.6,4.45,0.1,2.6,3.34
22,115000,80,1,3.14,3.9,0.1,3.13,3.82
23,120000,80,1,2.88,4.63,0.1,2.88,3.51
24,125000,80,1,2.61,4.58,0.1,2.61,3.44
25,130000,80,1,2.84,5.0,0.1,2.84,3.86
26,135000,80,1,2.78,4.71,0.1,2.78,3.59
27,140000,80,1,2.58,4.54,0.1,2.58,3.41
28,145000,80,1,2.91,4.78,0.1,2.91,3.66
29,150000,80,1,2.91,4.78,0.1,2.91,3.65
30,155000,80,1,2.4,4.33,0.1,2.4,3.2
31,160000,80,1,2.47,4.46,0.1,2.47,3.33
32,165000,80,1,2.52,4.49,0.1,2.52,3.37
33,170000,80,1,2.48,4.47,0.1,2.48,3.35
34,175000,80,1,2.64,4.57,0.1,2.64,3.44
35,180000,80,1,2.42,4.4,0.1,2.42,3.29
36,185000,80,1,2.29,4.36,0.1,2.29,3.21
37,190000,80,1,2.28,4.35,0.1,2.28,3.21
38,195000,80,1,2.29,4.36,0.1,2.29,3.23
39,200000,80,1,2.27,4.27,0.1,2.27,3.14
40,205000,80,1,2.33,4.35,0.1,2.33,3.22
41,210000,80,1,2.54,4.56,0.1,2.54,3.42
42,215000,80,1,2.38,4.4,0.1,2.38,3.27
43,220000,80,1,2.41,4.19,0.1,2.12,3.05
44,225000,80,1,2.21,4.28,0.1,2.21,3.15
45,230000,80,1,2.42,4.49,0.1,2.42,3.38
46,235000,80,1,2.3,5.48,0.1,2.3,3.27
47,240000,80,1,2.35,4.65,0.1,2.35,3.52
48,245000,80,1,2.62,4.7,0.1,2.62,3.56
49,250000,80,1,2.25,4.35,0.1,2.25,3.22
50,255000,80,1,2.14,4.24,0.1,2.14,3.12
51,260000,80,1,2.31,4.71,0.1,2.31,3.3
52,265000,80,1,2.3,5.48,0.1,2.3,3.26
53,270000,80,1,2.26,4.33,0.1,2.26,3.21
54,275000,80,1,2.31,5.45,0.1,2.31,3.24
55,280000,80,1,2.41,4.49,0.1,2.41,3.35
56,285000,80,1,2.12,4.29,0.1,2.12,3.15
57,290000,80,1,2.35,4.47,0.1,2.35,3.33
58,295000,80,1,2.33,4.41,0.1,2.33,3.28
59,300000,80,1,2.21,4.58,0.1,2.21,3.44
